director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
darren lynn bousman,alexa penavega,paris hilton,paul sorvino,horror musical sci-fi,repo! the genetic opera,alexa penavega paris hilton paul sorvino darren lynn bousman horror musical sci-fi future murder opera repossession surgery english
serdar akar,necati sasmaz,bergüzar korel,ghassan massoud,action adventure,valley of the wolves: iraq,necati sasmaz bergüzar korel ghassan massoud serdar akar action adventure abu ghraib bomb christian explosion iraq arabic
quentin tarantino,bruce willis,eric stoltz,phil lamarr,crime drama,pulp fiction,bruce willis eric stoltz phil lamarr quentin tarantino crime drama black comedy cunnilingus neo noir nonlinear timeline postmodern english
james frawley,madeline kahn,jim henson,dom deluise,adventure comedy family musical,the muppet movie,madeline kahn jim henson dom deluise james frawley adventure comedy family musical friend frog leg on the road restaurant the muppets english
dan gilroy,jake gyllenhaal,michael papajohn,james huang,crime drama thriller,nightcrawler,jake gyllenhaal michael papajohn james huang dan gilroy crime drama thriller employer employee relationship ethics journalism sociopath tv news english
jay chandrasekhar,brittany daniel,lindsay price,jay chandrasekhar,comedy horror thriller,club dread,brittany daniel lindsay price jay chandrasekhar jay chandrasekhar comedy horror thriller beach island party resort serial killer english
robert wise,eleanor parker,angela cartwright,nicholas hammond,biography drama family musical romance,the sound of music,eleanor parker angela cartwright nicholas hammond robert wise biography drama family musical romance austria children governess love orchestral music score english
ron howard,tom hanks,howard morris,patrick cronin,comedy fantasy romance,splash,tom hanks howard morris patrick cronin ron howard comedy fantasy romance cmnf cmnf scene mermaid new york city public nudity english
jonathan dayton,steve carell,steven christopher parker,jill talley,comedy drama,little miss sunshine,steve carell steven christopher parker jill talley jonathan dayton comedy drama gay graduate student sister sister relationship sprite uncle nephew relationship english
rob reiner,marshall bell,frances lee mccain,casey siemaszko,adventure drama,stand by me,marshall bell frances lee mccain casey siemaszko rob reiner adventure drama friendship summertime treehouse walking on train tracks woods english
danny boyle,noah huntley,megan burns,david schneider,drama horror sci-fi thriller,28 days later...,noah huntley megan burns david schneider danny boyle drama horror sci-fi thriller laboratory london england military virus zombie apocalypse english
chris stokes,jennifer freeman,marques houston,steve harvey,drama music,you got served,jennifer freeman marques houston steve harvey chris stokes drama music competition dance contest friend money street dancing english
don siegel,clint eastwood,patrick mcgoohan,fred ward,biography crime drama,escape from alcatraz,clint eastwood patrick mcgoohan fred ward don siegel biography crime drama alcatraz escape inmate island prison english
rick famuyiwa,boris kodjoe,sanaa lathan,wendell pierce,comedy drama music romance,brown sugar,boris kodjoe sanaa lathan wendell pierce rick famuyiwa comedy drama music romance basketball hip hop rap music record company writer english
martin lawrence,faizon love,lynn whitfield,della reese,comedy crime drama romance thriller,a thin line between love and hate,faizon love lynn whitfield della reese martin lawrence comedy crime drama romance thriller african american dating independent film irreverence revenge english
jonathan levine,joseph gordon-levitt,anna kendrick,bryce dallas howard,comedy drama romance,50/50,joseph gordon-levitt anna kendrick bryce dallas howard jonathan levine comedy drama romance best friend cancer survival rate therapist vomiting english
masayuki ochiai,james kyson,david denman,daisy betts,horror mystery thriller,shutter,james kyson david denman daisy betts masayuki ochiai horror mystery thriller car accident japan newlywed photograph photographer english
george a. romero,ted danson,hal holbrook,adrienne barbeau,comedy fantasy horror,creepshow,ted danson hal holbrook adrienne barbeau george a. romero comedy fantasy horror anthology child abuse critically acclaimed death grindhouse english
tom gormican,mackenzie davis,lola glaudini,josh pais,comedy romance,that awkward moment,mackenzie davis lola glaudini josh pais tom gormican comedy romance dating divorce father daughter relationship mother daughter relationship party english
ken shapiro,brian doyle-murray,dabney coleman,mary kay place,comedy fantasy sci-fi,modern problems,brian doyle-murray dabney coleman mary kay place ken shapiro comedy fantasy sci-fi air traffic controller nuclear waste orgasm telekinesis voodoo english
justin tipping,tina gilton,natalie stephany aguilar,justin hall,adventure,kicks,tina gilton natalie stephany aguilar justin hall justin tipping adventure unknown_keywords english
kenneth branagh,keanu reeves,denzel washington,brian blessed,comedy drama romance,much ado about nothing,keanu reeves denzel washington brian blessed kenneth branagh comedy drama romance 16th century bachelor dishonor masquerade party wedding english
peter r. hunt,telly savalas,george lazenby,desmond llewelyn,action adventure thriller,on her majesty's secret service,telly savalas george lazenby desmond llewelyn peter r. hunt action adventure thriller bond girl british mission portugal switzerland english
unknown_director,nick wechsler,philip winchester,jeff marlow,action crime drama thriller,the player            ,nick wechsler philip winchester jeff marlow unknown_director action crime drama thriller bet friend pit boss secret surveillance english
wes craven,miko hughes,heather langenkamp,tracy middendorf,fantasy horror mystery thriller,new nightmare,miko hughes heather langenkamp tracy middendorf wes craven fantasy horror mystery thriller earthquake elm street freddy krueger nightmare sleep english
john schultz,stephen collins,mark webber,keri lynn pratt,comedy drama romance,drive me crazy,stephen collins mark webber keri lynn pratt john schultz comedy drama romance centennial girl next door neighbor prom school english
doug atchison,curtis armstrong,sean michael afable,tzi ma,drama,akeelah and the bee,curtis armstrong sean michael afable tzi ma doug atchison drama national spelling bee principal school principal spelling spelling bee english
tamra davis,dave chappelle,harland williams,clarence williams iii,comedy crime,half baked,dave chappelle harland williams clarence williams iii tamra davis comedy crime bail diabetic friend jail pharmaceutical lab english
jonas elmer,j.k. simmons,frances conroy,harry connick jr.,comedy romance,new in town,j.k. simmons frances conroy harry connick jr. jonas elmer comedy romance love manufacturing minnesota plant small town english
stephen gaghan,matt damon,amr waked,kayvan novak,drama thriller,syriana,matt damon amr waked kayvan novak stephen gaghan drama thriller cia hezbollah lebanon oil prince english
mary harron,christian bale,justin theroux,samantha mathis,crime drama,american psycho,christian bale justin theroux samantha mathis mary harron crime drama 1980s business card male rear nudity materialism narcissism english
miguel arteta,jake gyllenhaal,zooey deschanel,tim blake nelson,drama romance,the good girl,jake gyllenhaal zooey deschanel tim blake nelson miguel arteta drama romance dysfunctional marriage marijuana small town store trying to conceive english
erik canuel,colm feore,richard howland,sarain boylan,action comedy crime thriller,bon cop bad cop,colm feore richard howland sarain boylan erik canuel action comedy crime thriller border hockey killer police tattoo english
troy duffy,norman reedus,julie benz,clifton collins jr.,action crime thriller,the boondock saints ii: all saints day,norman reedus julie benz clifton collins jr. troy duffy action crime thriller final showdown ireland justice priest sheep english
james ivory,alexandra maria lara,omar metwally,diego velazquez,drama romance,the city of your final destination,alexandra maria lara omar metwally diego velazquez james ivory drama romance child student university widow writer english
nicole holofcener,christopher nicholas smith,ben falcone,michaela watkins,comedy drama romance,enough said,christopher nicholas smith ben falcone michaela watkins nicole holofcener comedy drama romance dating divorcee ex husband ex wife party english
will gluck,emma stone,dan byrd,fred armisen,comedy romance,easy a,emma stone dan byrd fred armisen will gluck comedy romance gay gay interest high school school student english
matty rich,jada pinkett smith,joe morton,larenz tate,comedy drama romance,the inkwell,jada pinkett smith joe morton larenz tate matty rich comedy drama romance fire marriage martha's vineyard teenager vacation english
e. elias merhige,eddie izzard,udo kier,catherine mccormack,drama horror,shadow of the vampire,eddie izzard udo kier catherine mccormack e. elias merhige drama horror actor breasts film actress nosferatu vampire english
joe nussbaum,cameron monaghan,thomas mcdonell,aimee teegarden,comedy drama,prom,cameron monaghan thomas mcdonell aimee teegarden joe nussbaum comedy drama decoration father daughter relationship high school prom teenager english
matt reeves,mark margolis,michael rapaport,carol kane,comedy romance,the pallbearer,mark margolis michael rapaport carol kane matt reeves comedy romance bachelor party directorial debut funeral pallbearer wedding english
steve rash,barry corbin,nia long,jake busey,comedy,held up,barry corbin nia long jake busey steve rash comedy hold up hostage stockholm syndrome swat team vegetarian english
fina torres,harold perrineau,john de lancie,mark feuerstein,comedy fantasy romance,woman on top,harold perrineau john de lancie mark feuerstein fina torres comedy fantasy romance cross dresser food friend motion sickness restaurant english
james ivory,anthony hopkins,vanessa redgrave,samuel west,drama romance,howards end,anthony hopkins vanessa redgrave samuel west james ivory drama romance england friendship prejudice upper class working class english
unknown_director,dominic cooper,joseph gilgun,ruth negga,adventure drama fantasy mystery,preacher            ,dominic cooper joseph gilgun ruth negga unknown_director adventure drama fantasy mystery heaven and hell preacher supernatural vampire vertigo comics english
duke johnson,jennifer jason leigh,tom noonan,david thewlis,animation comedy drama romance,anomalisa,jennifer jason leigh tom noonan david thewlis duke johnson animation comedy drama romance full frontal male nudity hotel room multiple characters voiced by same person one night stand sex in hotel room english
mike leigh,jim broadbent,imelda staunton,phil davis,comedy drama,another year,jim broadbent imelda staunton phil davis mike leigh comedy drama autumn four seasons friend looking at one's self in a mirror unhappiness english
françois ozon,catherine deneuve,isabelle huppert,emmanuelle béart,comedy crime musical romance,8 women,catherine deneuve isabelle huppert emmanuelle béart françois ozon comedy crime musical romance cook industrialist secret snowstorm suspect french
mark l. lester,cary-hiroyuki tagawa,tia carrere,vernee watson,action comedy crime thriller,showdown in little tokyo,cary-hiroyuki tagawa tia carrere vernee watson mark l. lester action comedy crime thriller bare chested male detective electric torture japanese american yakuza english
david dobkin,janeane garofalo,vince vieluf,kevin rahm,comedy crime,clay pigeons,janeane garofalo vince vieluf kevin rahm david dobkin comedy crime breasts serial killer small town vomiting widow english
anna boden,zoë kravitz,jeremy davies,jim gaffigan,comedy drama romance,it's kind of a funny story,zoë kravitz jeremy davies jim gaffigan anna boden comedy drama romance based on novel depression psychiatric ward suicide attempt therapy english
nigel cole,bob hoskins,robbie kay,sally hawkins,biography comedy drama history,made in dagenham,bob hoskins robbie kay sally hawkins nigel cole biography comedy drama history equal pay machinist minister protest sex english
anand tucker,colin firth,jim broadbent,gina mckee,biography drama,when did you last see your father?,colin firth jim broadbent gina mckee anand tucker biography drama cancer children death terminal cancer time english
steve james,kurtwood smith,laurel holloman,amy locane,biography drama romance sport,prefontaine,kurtwood smith laurel holloman amy locane steve james biography drama romance sport long distance runner olympics oregon runner watching television english
michael winner,faye dunaway,marina sirtis,john gielgud,adventure drama,the wicked lady,faye dunaway marina sirtis john gielgud michael winner adventure drama female nudity highwayman nell gwynne nudity whipping english
tomm moore,sean lennon,mick lally,evan mcguire,adventure animation family fantasy,the secret of kells,sean lennon mick lally evan mcguire tomm moore adventure animation family fantasy barbarian fairy forest monastery unfinished book english
john carney,james corden,karen pittman,mary catherine garrison,drama music,begin again,james corden karen pittman mary catherine garrison john carney drama music manhattan new york city new york city record label singer song english
david jacobson,hunter parrish,bruce dern,rory culkin,drama romance thriller,down in the valley,hunter parrish bruce dern rory culkin david jacobson drama romance thriller beach cowboy cowboy hat neo western valley english
michael corrente,jerry ferrara,tony devon,alexa havins,crime drama,brooklyn rules,jerry ferrara tony devon alexa havins michael corrente crime drama 1980s friend friendship loyalty mafia english
edward hall,rufus sewell,hayley atwell,charlotte rampling,drama romance,restless,rufus sewell hayley atwell charlotte rampling edward hall drama romance espionage motel mother son relationship murder disguised as suicide shot in the head english
keith gordon,robert downey jr.,robin wright,alfre woodard,comedy crime musical mystery,the singing detective,robert downey jr. robin wright alfre woodard keith gordon comedy crime musical mystery detective detective novel fantasy sequence hallucination writer english
david leland,anna friel,catherine mccormack,steven mackintosh,drama romance war,the land girls,anna friel catherine mccormack steven mackintosh david leland drama romance war dorset farm friend love women's land army english
andrew currie,alexia fast,henry czerny,kesun loder,comedy drama horror sci-fi,fido,alexia fast henry czerny kesun loder andrew currie comedy drama horror sci-fi decapitation neighbor neighborhood next door neighbor zombie english
andrew wilson,will ferrell,eddie griffin,jacob vargas,comedy drama romance,the wendell baker story,will ferrell eddie griffin jacob vargas andrew wilson comedy drama romance directorial debut fantasy sequence nurse old age home prison english
jonathan lynn,rupert grint,rupert everett,geoff bell,action comedy crime,wild target,rupert grint rupert everett geoff bell jonathan lynn action comedy crime apprentice assassin hitman kleptomaniac thief english
marc schölermann,john de lancie,larry drake,johnny whitworth,crime horror thriller,pathology,john de lancie larry drake johnny whitworth marc schölermann crime horror thriller corpse dark humor medical school murder pathology english
unknown_director,tom hardy,jack o'connell,kevin mcnally,drama romance,wuthering heights            ,tom hardy jack o'connell kevin mcnally unknown_director drama romance abuse love moor the landscape revenge tv mini series english
robert moresco,brian dennehy,brad renfro,dash mihok,crime drama thriller,10th & wolf,brian dennehy brad renfro dash mihok robert moresco crime drama thriller desert storm fbi fbi agent fragmentation grenade woman kills attacker english
thomas vinterberg,michael angarano,chris owen,william hootkins,comedy crime drama romance,dear wendy,michael angarano chris owen william hootkins thomas vinterberg comedy crime drama romance gang gun loner love outcast english
claudia llosa,ian tracey,zen mcgrath,william shimell,drama,aloft,ian tracey zen mcgrath william shimell claudia llosa drama unknown_keywords english
katsuhiro ôtomo,mitsuo iwata,takeshi kusao,tesshô genda,action animation sci-fi,akira,mitsuo iwata takeshi kusao tesshô genda katsuhiro ôtomo action animation sci-fi based on manga biker gang gifted child post thermonuclear war science runs amok japanese
john herzfeld,paul walker,olivia wilde,jason flemyng,action crime thriller,the death and life of bobby z,paul walker olivia wilde jason flemyng john herzfeld action crime thriller drug lord on the run prison vegan vegetarian english
charles binamé,stephen mchattie,roy dupuis,julie lebreton,biography drama sport,the rocket: the legend of rocket richard,stephen mchattie roy dupuis julie lebreton charles binamé biography drama sport fan french canadian hockey hockey player machinist french
keith parmer,rachel ann mullins,josh henderson,grant bowler,action crime drama thriller,swelter,rachel ann mullins josh henderson grant bowler keith parmer action crime drama thriller police officer killed police officer shot in the chest police officer shot in the forehead police officer shot in the head police shootout english
dennie gordon,leehom wang,ruby lin,jack kao,action adventure comedy romance,my lucky star,leehom wang ruby lin jack kao dennie gordon action adventure comedy romance unknown_keywords chinese
ol parker,celia imrie,ben miles,darren boyd,comedy drama romance,imagine me & you,celia imrie ben miles darren boyd ol parker comedy drama romance florist friend friendship lesbian love english
bruce beresford,mckenna grace,lucy fry,natalie coughlin,drama,mr. church,mckenna grace lucy fry natalie coughlin bruce beresford drama unknown_keywords english
françois ozon,charlotte rampling,ludivine sagnier,jean-claude lecas,crime drama mystery thriller,swimming pool,charlotte rampling ludivine sagnier jean-claude lecas françois ozon crime drama mystery thriller luberon mystery writer night publisher swimming english
james nunn,spencer wilding,mark wingett,kacey clarke,action drama,green street 3: never back down,spencer wilding mark wingett kacey clarke james nunn action drama bare breasts firm hooliganism training west ham supporter english
david webb peoples,delroy lindo,joan chen,anna katarina,action sci-fi sport,the blood of heroes,delroy lindo joan chen anna katarina david webb peoples action sci-fi sport battle blood splatter combat game showdown english
michael winnick,scott takeda,helena mattsson,craig sheffer,action,code of honor,scott takeda helena mattsson craig sheffer michael winnick action gun mayor nightclub police vigilantism english
bruce beresford,morgan freeman,jessica tandy,patti lupone,comedy drama family,driving miss daisy,morgan freeman jessica tandy patti lupone bruce beresford comedy drama family 1950s african american jewish old age widow english
george tillman jr.,vanessa williams,mekhi phifer,vivica a. fox,comedy drama,soul food,vanessa williams mekhi phifer vivica a. fox george tillman jr. comedy drama 1990s family relationships food in title sister unity english
stanley tong,françoise yip,anita mui,garvin cross,action comedy,rumble in the bronx,françoise yip anita mui garvin cross stanley tong action comedy fight gang greed street gang wedding cantonese
david oelhoffen,viggo mortensen,reda kateb,ángela molina,drama war western,far from men,viggo mortensen reda kateb ángela molina david oelhoffen drama war western algerian war based on short story hostage teacher title at the end french
jason reitman,j.k. simmons,cameron bright,todd louiso,comedy drama,thank you for smoking,j.k. simmons cameron bright todd louiso jason reitman comedy drama cigarette smoking lobbyist political satire reporter tobacco industry english
eli roth,jay hernandez,lauren german,stanislav ianevski,horror,hostel: part ii,jay hernandez lauren german stanislav ianevski eli roth horror american hostel slovakia torture train english
lone scherfig,dominic cooper,olivia williams,ellie kendrick,drama,an education,dominic cooper olivia williams ellie kendrick lone scherfig drama 1960s age difference france loss of virginity oxford english
anand tucker,frances conroy,bridgette wilson-sampras,clyde kusatsu,drama romance,shopgirl,frances conroy bridgette wilson-sampras clyde kusatsu anand tucker drama romance artist depression gloves photography slacker english
tony richardson,joely richardson,beau bridges,nastassja kinski,comedy drama romance,the hotel new hampshire,joely richardson beau bridges nastassja kinski tony richardson comedy drama romance football hotel teenage girl terrorist wien english
joe carnahan,jason patric,chi mcbride,alan van sprang,crime drama mystery thriller,narc,jason patric chi mcbride alan van sprang joe carnahan crime drama mystery thriller blood splatter cover up murder police shootout undercover english
paul gross,molly parker,paul gross,kari matchett,comedy drama romance sport,men with brooms,molly parker paul gross kari matchett paul gross comedy drama romance sport championship coach curling marriage rural setting english
charles robert carner,ivana milicevic,jenny mccarthy,richard bull,comedy crime,witless protection,ivana milicevic jenny mccarthy richard bull charles robert carner comedy crime fbi polo possum sheriff shotgun english
russell holt,eric johnson,brenda strong,tiffany dupont,drama romance,the work and the glory,eric johnson brenda strong tiffany dupont russell holt drama romance 1830s baptism intolerance mormon church sibling rivalry english
mike judge,j.k. simmons,mila kunis,clifton collins jr.,comedy crime romance,extract,j.k. simmons mila kunis clifton collins jr. mike judge comedy crime romance freak accident gigolo hit in the crotch nosy neighbor on the job injury english
larry charles,jeff bridges,cheech marin,bruce dern,comedy drama music,masked and anonymous,jeff bridges cheech marin bruce dern larry charles comedy drama music concert jail journalist revolution singer english
claude miller,sandrine kiberlain,edouard baer,roschdy zem,comedy crime drama romance thriller,alias betty,sandrine kiberlain edouard baer roschdy zem claude miller comedy crime drama romance thriller child criminal death depression novelist french
michael winterbottom,samantha morton,om puri,natalie mendoza,drama romance sci-fi thriller,code 46,samantha morton om puri natalie mendoza michael winterbottom drama romance sci-fi thriller genetics i.d. love sphinx totalitarian english
sacha bennett,bob hoskins,jenny agutter,vincent regan,comedy,outside bet,bob hoskins jenny agutter vincent regan sacha bennett comedy unknown_keywords english
paul haggis,don cheadle,loretta devine,jennifer esposito,crime drama thriller,crash,don cheadle loretta devine jennifer esposito paul haggis crime drama thriller race relations racism racist social problem stereotype english
rodrigo garcía,mia wasikowska,michael mcelhatton,mark williams,drama,albert nobbs,mia wasikowska michael mcelhatton mark williams rodrigo garcía drama 19th century hotel painter waiter woman pretending to be a man english
jeta amata,akon,nathin butler,razaaq adoti,action crime drama thriller,black november,akon nathin butler razaaq adoti jeta amata action crime drama thriller color in title number in title two word title english
siddharth anand,saif ali khan,mary goggin,vic aviles,comedy family romance,ta ra rum pum,saif ali khan mary goggin vic aviles siddharth anand comedy family romance comeback family relationships marriage new york racer hindi
vincent paronnaud,catherine deneuve,gena rowlands,danielle darrieux,animation biography drama war,persepolis,catherine deneuve gena rowlands danielle darrieux vincent paronnaud animation biography drama war dream girl iran islamic revolution revolution french
joe dante,bruce dern,teri polo,haley bennett,adventure fantasy thriller,the hole,bruce dern teri polo haley bennett joe dante adventure fantasy thriller basement family relationships hole no opening credits slow motion scene english
dennis gansel,max riemelt,elyas m'barek,jennifer ulrich,drama thriller,the wave,max riemelt elyas m'barek jennifer ulrich dennis gansel drama thriller autocracy based on real events dictatorship germany teacher german
nicolas winding refn,keanu reeves,bella heathcote,charles baker,horror thriller,the neon demon,keanu reeves bella heathcote charles baker nicolas winding refn horror thriller beauty cannibalism fashion lesbian model english
daniel barber,joseph gilgun,jack o'connell,sean harris,action crime drama thriller,harry brown,joseph gilgun jack o'connell sean harris daniel barber action crime drama thriller bayonet death police self defense widower english
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure romance,spider-man 3,j.k. simmons james franco kirsten dunst sam raimi action adventure romance sandman spider man symbiote venom villain english
robert marcarelli,george coe,william hootkins,ayla kell,action adventure fantasy sci-fi thriller,the omega code,george coe william hootkins ayla kell robert marcarelli action adventure fantasy sci-fi thriller code evil false accusation megalomaniac torah english
ernie barbarash,darren shahlavi,aki aleong,brahim achabbakhe,action thriller,pound of flesh,darren shahlavi aki aleong brahim achabbakhe ernie barbarash action thriller fighting hand to hand combat jujitsu kickboxing organ english
guy hamilton,desmond llewelyn,lois maxwell,jill st. john,action adventure thriller,diamonds are forever,desmond llewelyn lois maxwell jill st. john guy hamilton action adventure thriller cat diamond ford mustang james bond 007 yanked off bikini top english
francis ford coppola,al pacino,marlon brando,robert duvall,crime drama,the godfather,al pacino marlon brando robert duvall francis ford coppola crime drama crime family mafia organized crime patriarch rise to power english
adrian lyne,michael nouri,cynthia rhodes,lee ving,drama music romance,flashdance,michael nouri cynthia rhodes lee ving adrian lyne drama music romance ballet school dance dancer overalls steel worker english
marc webb,joseph gordon-levitt,chloë grace moretz,zooey deschanel,comedy drama romance,500 days of summer,joseph gordon-levitt chloë grace moretz zooey deschanel marc webb comedy drama romance friend greeting card office summer true love english
jane campion,holly hunter,ian mune,geneviève lemon,drama music romance,the piano,holly hunter ian mune geneviève lemon jane campion drama music romance adultery daughter male rear nudity new zealand piano english
steven soderbergh,channing tatum,alex pettyfer,matthew mcconaughey,comedy drama,magic mike,channing tatum alex pettyfer matthew mcconaughey steven soderbergh comedy drama bank male nudity male objectification male stripper stripper english
jonathan liebesman,sullivan stapleton,emma caulfield,angus sampson,horror mystery thriller,darkness falls,sullivan stapleton emma caulfield angus sampson jonathan liebesman horror mystery thriller boy darkness light tooth tooth fairy english
guy hamilton,yaphet kotto,geoffrey holder,clifton james,action adventure thriller,live and let die,yaphet kotto geoffrey holder clifton james guy hamilton action adventure thriller british cards heroin murder tarot card english
jay russell,clint howard,frankie muniz,cody linley,drama family sport,my dog skip,clint howard frankie muniz cody linley jay russell drama family sport 1940s dog mississippi puppy veteran english
adam brooks,ryan reynolds,sakina jaffrey,paulina gerzon,comedy drama romance,"definitely, maybe",ryan reynolds sakina jaffrey paulina gerzon adam brooks comedy drama romance college daughter girl sex wisconsin english
salim akil,gary dourdan,loretta devine,laz alonso,comedy drama,jumping the broom,gary dourdan loretta devine laz alonso salim akil comedy drama martha's vineyard mother older woman younger man relationship wedding weekend english
baz luhrmann,leonardo dicaprio,elizabeth debicki,steve bisley,drama romance,the great gatsby,leonardo dicaprio elizabeth debicki steve bisley baz luhrmann drama romance ingratitude mansion party title appears in writing tragedy english
george clooney,robert downey jr.,tate donovan,alex borstein,biography drama history,"good night, and good luck.",robert downey jr. tate donovan alex borstein george clooney biography drama history cbs expose fear paranoia reporter english
bennett miller,philip seymour hoffman,michael j. burg,kwesi ameyaw,biography crime drama,capote,philip seymour hoffman michael j. burg kwesi ameyaw bennett miller biography crime drama book holcomb kansas kansas killer truman capote english
robert rodriguez,quentin tarantino,steve buscemi,salma hayek,action crime thriller,desperado,quentin tarantino steve buscemi salma hayek robert rodriguez action crime thriller crushed by a car female frontal nudity female nudity female rear nudity one against many english
michael winterbottom,milla jovovich,sarah polley,shirley henderson,drama romance western,the claim,milla jovovich sarah polley shirley henderson michael winterbottom drama romance western gold gold mine miner railroad surveyor english
unknown_director,kirsten dunst,adam goldberg,oliver platt,crime drama thriller,fargo            ,kirsten dunst adam goldberg oliver platt unknown_director crime drama thriller anthology death insurance salesman minnesota police officer english
michael anderson,farrah fawcett,jenny agutter,peter ustinov,action adventure sci-fi,logan's run,farrah fawcett jenny agutter peter ustinov michael anderson action adventure sci-fi cat computer cult film runner sanctuary english
guy hamilton,christopher lee,hervé villechaize,desmond llewelyn,action adventure thriller,the man with the golden gun,christopher lee hervé villechaize desmond llewelyn guy hamilton action adventure thriller assassin bikini girl in a bikini mission secret agent english
craig r. baxley,bill duke,vanity,carl weathers,action comedy crime thriller,action jackson,bill duke vanity carl weathers craig r. baxley action comedy crime thriller murder power psychotronic tough cop union english
neil marshall,myanna buring,shauna macdonald,craig conway,adventure horror thriller,the descent,myanna buring shauna macdonald craig conway neil marshall adventure horror thriller cave expedition friendship between women group of friends survival horror english
don kempf,bill murray,michael jordan,bob costas,documentary sport,michael jordan to the max,bill murray michael jordan bob costas don kempf documentary sport basketball basketball player character name in title chicago bulls imax english
matt bettinelli-olpin,zach gilford,allison miller,vanessa ray,horror mystery,devil's due,zach gilford allison miller vanessa ray matt bettinelli-olpin horror mystery eiffel tower at night honeymoon implied insemination party taxi driver english
david o. russell,lily tomlin,mary tyler moore,david patrick kelly,comedy,flirting with disaster,lily tomlin mary tyler moore david patrick kelly david o. russell comedy adoption armpit fetish mistaken identity new mexico overalls english
rob zombie,sid haig,ken foree,lew temple,crime horror,the devil's rejects,sid haig ken foree lew temple rob zombie crime horror escape police road trip sheriff texas english
unknown_director,sarah michelle gellar,alyson hannigan,emma caulfield,action drama fantasy romance,buffy the vampire slayer            ,sarah michelle gellar alyson hannigan emma caulfield unknown_director action drama fantasy romance action heroine coming of age destiny double life vampire english
rick famuyiwa,kimberly elise,rick fox,kiersey clemons,comedy crime drama,dope,kimberly elise rick fox kiersey clemons rick famuyiwa comedy crime drama african american geek hip hop party tomboy english
michael rymer,ll cool j,omar epps,nia long,crime drama thriller,in too deep,ll cool j omar epps nia long michael rymer crime drama thriller cunnilingus oral sex police sex scene undercover english
sam mendes,albert finney,helen mccrory,rory kinnear,action adventure thriller,skyfall,albert finney helen mccrory rory kinnear sam mendes action adventure thriller brawl childhood home computer cracker intelligence agency terrorist cell english
rob zombie,sid haig,matthew mcgrory,erin daniels,horror,house of 1000 corpses,sid haig matthew mcgrory erin daniels rob zombie horror actor playing multiple roles axe dark comedy masked man sadism english
sharron miller,bernard fox,elizabeth macrae,charles aidman,horror,alien zone,bernard fox elizabeth macrae charles aidman sharron miller horror affair child murderer mortician strangulation supernatural power english
ethan coen,michael stuhlbarg,fred melamed,peter breitmayer,comedy drama,a serious man,michael stuhlbarg fred melamed peter breitmayer ethan coen comedy drama bar mitzvah jewish marital breakup nose job rabbi english
aaron schneider,bill murray,robert duvall,bill cobbs,drama mystery,get low,bill murray robert duvall bill cobbs aaron schneider drama mystery funeral funeral home hermit party secret english
steve miner,julian sands,richard e. grant,lori singer,action fantasy horror thriller,warlock,julian sands richard e. grant lori singer steve miner action fantasy horror thriller 17th century book death warlock witch hunter english
gina prince-bythewood,minnie driver,nate parker,darryl stephens,drama music,beyond the lights,minnie driver nate parker darryl stephens gina prince-bythewood drama music domestic abuse public humiliation sex symbol singer suicide attempt english
tom ford,colin firth,teddy sears,keri lynn pratt,drama romance,a single man,colin firth teddy sears keri lynn pratt tom ford drama romance car accident male full back nudity practicing a suicide public nudity suicide contemplation english
martin scorsese,irvin kershner,barbara hershey,roberts blossom,drama,the last temptation of christ,irvin kershner barbara hershey roberts blossom martin scorsese drama carpenter exorcism faith reference to jesus christ temptation english
michael corrente,jonathan brandis,george wendt,shawn hatosy,comedy drama romance,outside providence,jonathan brandis george wendt shawn hatosy michael corrente comedy drama romance class cornwall connecticut dog friend pawtucket rhode island english
gurinder chadha,indira varma,martin henderson,anupam kher,comedy drama musical romance,bride & prejudice,indira varma martin henderson anupam kher gurinder chadha comedy drama musical romance bollywood india jane austen london england travel english
phillip noyce,roy billing,david gulpilil,deborah mailman,adventure biography drama history,rabbit-proof fence,roy billing david gulpilil deborah mailman phillip noyce adventure biography drama history aborigine based on true story colonialism fence half caste aboriginal
don michael paul,jeffrey jones,faizon love,lil' wayne,comedy sport,who's your caddy?,jeffrey jones faizon love lil' wayne don michael paul comedy sport 2000s golf caddy golf course golfer question mark in title english
tony maylam,michael j. pollard,alun armstrong,alastair duncan,action crime horror sci-fi thriller,split second,michael j. pollard alun armstrong alastair duncan tony maylam action crime horror sci-fi thriller appearing from water breasts creature partner water english
unknown_director,melinda clarke,xander berkeley,aaron stanford,action crime drama thriller,nikita            ,melinda clarke xander berkeley aaron stanford unknown_director action crime drama thriller assassin death female protagonist rogue training english
mitch davis,anne hathaway,nathaniel lees,miriama smith,adventure biography drama,the other side of heaven,anne hathaway nathaniel lees miriama smith mitch davis adventure biography drama 1950s idaho love missionary mormon english
unknown_director,jensen ackles,ashley scott,john savage,action drama mystery sci-fi,dark angel            ,jensen ackles ashley scott john savage unknown_director action drama mystery sci-fi cat burglar female lead future mixed martial arts post apocalypse english
yash chopra,shah rukh khan,preity zinta,anupam kher,drama musical romance,veer-zaara,shah rukh khan preity zinta anupam kher yash chopra drama musical romance fair pakistan prison rescue stranded hindi
