director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,plot_keywords,language,comb
guillaume canet,françois cluzet,benoît magimel,gilles lellouche,comedy drama,little white lies,friend restaurant secret unrequited love vacation,french,françois cluzet benoît magimel gilles lellouche guillaume canet comedy drama friend restaurant secret unrequited love vacation french
taylor hackford,scout taylor-compton,bai ling,gil birmingham,comedy drama romance sport,love ranch,argentine brothel cancer female full frontal nudity fight,english,scout taylor-compton bai ling gil birmingham taylor hackford comedy drama romance sport argentine brothel cancer female full frontal nudity fight english
jérôme deschamps,yolande moreau,andré wilms,jérôme deschamps,adventure animation comedy,the true story of puss'n boots,cartoon cat cat character name in title puss in boots surrealism,english,yolande moreau andré wilms jérôme deschamps jérôme deschamps adventure animation comedy cartoon cat cat character name in title puss in boots surrealism english
inna evlannikova,sergey garmash,evgeniy mironov,aleksandr bashirov,adventure animation comedy family,space dogs,dog flea meteor space space dog,russian,sergey garmash evgeniy mironov aleksandr bashirov inna evlannikova adventure animation comedy family dog flea meteor space space dog russian
ridley scott,michael fassbender,brad pitt,goran visnjic,crime drama thriller,the counselor,cunnilingus drug trafficking lawyer no panties shootout,english,michael fassbender brad pitt goran visnjic ridley scott crime drama thriller cunnilingus drug trafficking lawyer no panties shootout english
jonathan english,jason flemyng,mackenzie crook,derek jacobi,action adventure history romance,ironclad,castle england king knight templar,english,jason flemyng mackenzie crook derek jacobi jonathan english action adventure history romance castle england king knight templar english
sergey bondarchuk,rod steiger,dan o'herlihy,jack hawkins,action drama history war,waterloo,battle costume drama final battle napoleon napoleon bonaparte,english,rod steiger dan o'herlihy jack hawkins sergey bondarchuk action drama history war battle costume drama final battle napoleon napoleon bonaparte english
teddy chan,siu-wong fan,charlie yeung,wai-keung lau,action drama,kung fu killer,fight kung fu martial arts police wire fu,cantonese,siu-wong fan charlie yeung wai-keung lau teddy chan action drama fight kung fu martial arts police wire fu cantonese
mario van peebles,martin kove,mario van peebles,jacob vargas,action thriller,red sky,exploding airplane fighter pilot hands tied held at gunpoint military,english,martin kove mario van peebles jacob vargas mario van peebles action thriller exploding airplane fighter pilot hands tied held at gunpoint military english
walter salles,kristen stewart,viggo mortensen,kirsten dunst,adventure drama,on the road,benzedrine cactus drugs poem year 1949,english,kristen stewart viggo mortensen kirsten dunst walter salles adventure drama benzedrine cactus drugs poem year 1949 english
leonard nimoy,leonard nimoy,nichelle nichols,walter koenig,adventure comedy sci-fi,star trek iv: the voyage home,alien probe humpback whales probe time travel whale,english,leonard nimoy nichelle nichols walter koenig leonard nimoy adventure comedy sci-fi alien probe humpback whales probe time travel whale english
sylvester stallone,sylvester stallone,burt young,mike tyson,drama sport,rocky balboa,boxing fight heavyweight champion restaurant retired boxer,english,sylvester stallone burt young mike tyson sylvester stallone drama sport boxing fight heavyweight champion restaurant retired boxer english
ericson core,ray winstone,edgar ramírez,delroy lindo,action crime sport thriller,point break,athlete extreme sports fbi fbi agent heist,english,ray winstone edgar ramírez delroy lindo ericson core action crime sport thriller athlete extreme sports fbi fbi agent heist english
wes craven,omar epps,jada pinkett smith,kevin williamson,horror mystery,scream 2,college ghostface killer killing spree murder,english,omar epps jada pinkett smith kevin williamson wes craven horror mystery college ghostface killer killing spree murder english
gavin o'connor,natalie portman,noah emmerich,boyd holbrook,action drama western,jane got a gun,brothel death of husband ex lover haunted by the past redemption,english,natalie portman noah emmerich boyd holbrook gavin o'connor action drama western brothel death of husband ex lover haunted by the past redemption english
tim story,romany malco,regina hall,david walton,comedy romance,think like a man too,african american imperative in title las vegas nevada nevada wedding,english,romany malco regina hall david walton tim story comedy romance african american imperative in title las vegas nevada nevada wedding english
jonathan lynn,bruce willis,matthew perry,natasha henstridge,comedy crime,the whole nine yards,adultery black humor dentist hitman sex in bed,english,bruce willis matthew perry natasha henstridge jonathan lynn comedy crime adultery black humor dentist hitman sex in bed english
todd phillips,will ferrell,leah remini,patrick fischler,comedy,old school,college fraternity friend house party,english,will ferrell leah remini patrick fischler todd phillips comedy college fraternity friend house party english
terry gilliam,jeff bridges,david hyde pierce,harry shearer,comedy drama fantasy,the fisher king,friendship holy grail massacre redemption video store,english,jeff bridges david hyde pierce harry shearer terry gilliam comedy drama fantasy friendship holy grail massacre redemption video store english
danny cannon,muse watson,mekhi phifer,bill cobbs,horror mystery,i still know what you did last summer,bahamas fisherman hook island roommate,english,muse watson mekhi phifer bill cobbs danny cannon horror mystery bahamas fisherman hook island roommate english
bonnie hunt,minnie driver,jim belushi,bonnie hunt,comedy drama romance,return to me,heart italian restaurant restaurant transplant waitress,english,minnie driver jim belushi bonnie hunt bonnie hunt comedy drama romance heart italian restaurant restaurant transplant waitress english
kevin smith,gerry bednob,jeff anderson,jennifer schwalbach smith,comedy romance,zack and miri make a porno,actor friend male frontal nudity male full frontal nudity penis,english,gerry bednob jeff anderson jennifer schwalbach smith kevin smith comedy romance actor friend male frontal nudity male full frontal nudity penis english
neil labute,morgan freeman,pruitt taylor vince,kathleen wilhoite,comedy crime drama,nurse betty,hospital kansas city obsession salesman soap opera,english,morgan freeman pruitt taylor vince kathleen wilhoite neil labute comedy crime drama hospital kansas city obsession salesman soap opera english
grant heslov,kevin spacey,jeff bridges,stephen root,comedy war,the men who stare at goats,first person narration general hampster reference to loch ness monster reporter,english,kevin spacey jeff bridges stephen root grant heslov comedy war first person narration general hampster reference to loch ness monster reporter english
george gallo,daniel roebuck,eddie griffin,garcelle beauvais,action comedy crime thriller,double take,cia cia agent fbi mexico train,english,daniel roebuck eddie griffin garcelle beauvais george gallo action comedy crime thriller cia cia agent fbi mexico train english
james mangold,angelina jolie pitt,clea duvall,vanessa redgrave,biography drama,"girl, interrupted",1960s father daughter incest mental hospital suicide suicide attempt,english,angelina jolie pitt clea duvall vanessa redgrave james mangold biography drama 1960s father daughter incest mental hospital suicide suicide attempt english
robert luketic,topher grace,gary cole,nathan lane,comedy romance,win a date with tad hamilton!,best friend contest date small town west virginia,english,topher grace gary cole nathan lane robert luketic comedy romance best friend contest date small town west virginia english
tim hill,josh charles,f. murray abraham,david arquette,adventure comedy family fantasy music sci-fi,muppets from space,alien breakfast escape rat ufo,english,josh charles f. murray abraham david arquette tim hill adventure comedy family fantasy music sci-fi alien breakfast escape rat ufo english
sidney lumet,lena horne,diana ross,theresa merritt,adventure family fantasy music musical,the wiz,melancholy new york city sadness teacher wizard,english,lena horne diana ross theresa merritt sidney lumet adventure family fantasy music musical melancholy new york city sadness teacher wizard english
brian robbins,oliver platt,ellen albertini dow,martin landau,comedy sport,ready to rumble,gay subtext homoerotic fight homoeroticism homosexual subtext wcw wrestling,english,oliver platt ellen albertini dow martin landau brian robbins comedy sport gay subtext homoerotic fight homoeroticism homosexual subtext wcw wrestling english
ron shelton,willie garson,robert wagner,lolita davidovich,comedy drama sport,play it to the bone,boxing movie friendship highway travel male rear nudity road movie,english,willie garson robert wagner lolita davidovich ron shelton comedy drama sport boxing movie friendship highway travel male rear nudity road movie english
douglas mcgrath,olivia munn,busy philipps,jessica szohr,comedy romance,i don't know how she does it,black comedy delivery boy dinner gym punishment,english,olivia munn busy philipps jessica szohr douglas mcgrath comedy romance black comedy delivery boy dinner gym punishment english
alexandre aja,adam scott,kelly brook,jessica szohr,comedy horror,piranha 3d,bloody water boat party piranha spring break,english,adam scott kelly brook jessica szohr alexandre aja comedy horror bloody water boat party piranha spring break english
kevin spacey,kevin spacey,bob hoskins,brenda blethyn,biography drama music musical,beyond the sea,bobby darin career love marriage sandra dee,english,kevin spacey bob hoskins brenda blethyn kevin spacey biography drama music musical bobby darin career love marriage sandra dee english
steve boyum,paul walker,m.c. gainey,a.j. langer,comedy family,meet the deedles,accidental kiss eating a worm park worm yellowstone national park,english,paul walker m.c. gainey a.j. langer steve boyum comedy family accidental kiss eating a worm park worm yellowstone national park english
richard williams,donald pleasence,kenneth williams,clive revill,action adventure animation comedy fantasy,the princess and the cobbler,cobbler desert gold princess thief,english,donald pleasence kenneth williams clive revill richard williams action adventure animation comedy fantasy cobbler desert gold princess thief english
mary mcguckian,robert de niro,f. murray abraham,geraldine chaplin,drama romance,the bridge of san luis rey,bridge friar inquisition peru rope bridge,english,robert de niro f. murray abraham geraldine chaplin mary mcguckian drama romance bridge friar inquisition peru rope bridge english
george tillman jr.,dwayne johnson,tom berenger,mike epps,action crime drama thriller,faster,gun prison reference to god reference to jesus christ vengeance,english,dwayne johnson tom berenger mike epps george tillman jr. action crime drama thriller gun prison reference to god reference to jesus christ vengeance english
hayao miyazaki,christian bale,blythe danner,jean simmons,adventure animation family fantasy,howl's moving castle,anime castle demon steampunk witch,japanese,christian bale blythe danner jean simmons hayao miyazaki adventure animation family fantasy anime castle demon steampunk witch japanese
ruben fleischer,emma stone,bill murray,derek graf,adventure comedy horror sci-fi,zombieland,amusement park on the road zombie zombie apocalypse zombie spoof,english,emma stone bill murray derek graf ruben fleischer adventure comedy horror sci-fi amusement park on the road zombie zombie apocalypse zombie spoof english
frank coraci,adam sandler,clint howard,peter dante,comedy sport,the waterboy,coach college college football domineering mother football,english,adam sandler clint howard peter dante frank coraci comedy sport coach college college football domineering mother football english
irvin kershner,harrison ford,kenny baker,anthony daniels,action adventure fantasy sci-fi,star wars: episode v - the empire strikes back,duel famous twist rebel rescue snowy landscape,english,harrison ford kenny baker anthony daniels irvin kershner action adventure fantasy sci-fi duel famous twist rebel rescue snowy landscape english
michael bay,will smith,tchéky karyo,theresa randle,action comedy crime drama thriller,bad boys,drugs heroin murder police witness,english,will smith tchéky karyo theresa randle michael bay action comedy crime drama thriller drugs heroin murder police witness english
david zucker,george kennedy,priscilla presley,o.j. simpson,comedy crime,the naked gun 2½: the smell of fear,american president evil industrialist ex girlfriend political leader president,english,george kennedy priscilla presley o.j. simpson david zucker comedy crime american president evil industrialist ex girlfriend political leader president english
james wong,daniel roebuck,brendan fehr,kerr smith,horror thriller,final destination,dead teenager death explosion premonition teenager,english,daniel roebuck brendan fehr kerr smith james wong horror thriller dead teenager death explosion premonition teenager english
george clooney,ryan gosling,philip seymour hoffman,jennifer ehle,drama,the ides of march,governor intern manager ohio politics,english,ryan gosling philip seymour hoffman jennifer ehle george clooney drama governor intern manager ohio politics english
david twohy,vin diesel,radha mitchell,cole hauser,horror sci-fi,pitch black,captain darkness eclipse space survival,english,vin diesel radha mitchell cole hauser david twohy horror sci-fi captain darkness eclipse space survival english
tony goldwyn,hugh jackman,ellen barkin,catherine dent,comedy romance,someone like you...,apartment girl in panties roommate thong panties upskirt,english,hugh jackman ellen barkin catherine dent tony goldwyn comedy romance apartment girl in panties roommate thong panties upskirt english
spike jonze,scarlett johansson,brian johnson,matt letscher,drama romance sci-fi,her,divorce female frontal nudity future loneliness operating system,english,scarlett johansson brian johnson matt letscher spike jonze drama romance sci-fi divorce female frontal nudity future loneliness operating system english
dexter fletcher,hugh jackman,taron egerton,tim mcinnerny,biography comedy drama sport,eddie the eagle,1988 winter olympics coach ski jumper winter winter olympics,english,hugh jackman taron egerton tim mcinnerny dexter fletcher biography comedy drama sport 1988 winter olympics coach ski jumper winter winter olympics english
john dahl,paul walker,jessica bowman,dell yount,mystery thriller,joy ride,embarrassing male nudity embarrassing nudity male nudity truck truck driver,english,paul walker jessica bowman dell yount john dahl mystery thriller embarrassing male nudity embarrassing nudity male nudity truck truck driver english
jonathan newman,ioan gruffudd,keeley hawes,oliver stark,adventure family fantasy,the adventurer: the curse of the midas box,based on novel drowning hanging from a flagpole hanging from a rope magic,english,ioan gruffudd keeley hawes oliver stark jonathan newman adventure family fantasy based on novel drowning hanging from a flagpole hanging from a rope magic english
wayne wang,natalie portman,eva amurri martino,shawn hatosy,comedy drama,anywhere but here,family relationships female protagonist nubile woman policeman teenager,english,natalie portman eva amurri martino shawn hatosy wayne wang comedy drama family relationships female protagonist nubile woman policeman teenager english
andy cadiff,annabella sciorra,stark sands,terence maynard,comedy romance,chasing liberty,first daughter photographer prague president secret service agent,english,annabella sciorra stark sands terence maynard andy cadiff comedy romance first daughter photographer prague president secret service agent english
michael dinner,seymour cassel,dan hedaya,lainie kazan,comedy crime,the crew,beach drug lord drugs hotel stripper,english,seymour cassel dan hedaya lainie kazan michael dinner comedy crime beach drug lord drugs hotel stripper english
steven soderbergh,channing tatum,michael fassbender,michael angarano,action thriller,haywire,die hard scenario one woman army rescue soldier super soldier,english,channing tatum michael fassbender michael angarano steven soderbergh action thriller die hard scenario one woman army rescue soldier super soldier english
joseph sargent,judith barsi,mario van peebles,lynn whitfield,adventure horror thriller,jaws: the revenge,banana boat boat christmas sea shark,english,judith barsi mario van peebles lynn whitfield joseph sargent adventure horror thriller banana boat boat christmas sea shark english
jerry zaks,leonardo dicaprio,robert de niro,meryl streep,drama,marvin's room,house leukemia mental institution nursing home transplant,english,leonardo dicaprio robert de niro meryl streep jerry zaks drama house leukemia mental institution nursing home transplant english
fred durst,tasha smith,dash mihok,garrett morris,biography comedy drama family sport,the longshots,absent father american football based on true story middle school,english,tasha smith dash mihok garrett morris fred durst biography comedy drama family sport absent father american football based on true story middle school english
neil jordan,stephen rea,ian hart,james bolam,drama romance,the end of the affair,breasts jealousy obsession sex scene spiritual,english,stephen rea ian hart james bolam neil jordan drama romance breasts jealousy obsession sex scene spiritual english
simon wincer,vanessa williams,tia carrere,don johnson,action crime drama thriller western,harley davidson and the marlboro man,bar biker cowboy drugs marlboro,english,vanessa williams tia carrere don johnson simon wincer action crime drama thriller western bar biker cowboy drugs marlboro english
paul haggis,james franco,charlize theron,barry corbin,crime drama mystery thriller,in the valley of elah,detective iraq military murder investigation police,english,james franco charlize theron barry corbin paul haggis crime drama mystery thriller detective iraq military murder investigation police english
anne fontaine,alessandro nivola,benoît poelvoorde,marie gillain,biography drama,coco before chanel,baron fashion hat nickname orphanage,french,alessandro nivola benoît poelvoorde marie gillain anne fontaine biography drama baron fashion hat nickname orphanage french
stephen frears,tom burke,iben hjejle,gaye brown,comedy drama romance,chéri,age difference courtesan mansion marriage prostitute,english,tom burke iben hjejle gaye brown stephen frears comedy drama romance age difference courtesan mansion marriage prostitute english
unknown_director,cole hauser,sarah carter,derek luke,action crime drama thriller,rogue            ,cheating wife extramarital affair female lead undercover unfaithfulness,english,cole hauser sarah carter derek luke unknown_director action crime drama thriller cheating wife extramarital affair female lead undercover unfaithfulness english
mira nair,romola garai,roger lloyd pack,lillete dubey,drama,vanity fair,aristocrat english painter painting singer,english,romola garai roger lloyd pack lillete dubey mira nair drama aristocrat english painter painting singer english
teddy chan,bingbing fan,simon yam,nicholas tse,action drama history,bodyguards and assassins,giant hong kong hook and chain knife fight martial artist,mandarin,bingbing fan simon yam nicholas tse teddy chan action drama history giant hong kong hook and chain knife fight martial artist mandarin
mikael håfström,drew powell,kim thomson,alexandra silber,fantasy horror,1408,book debunking evil hotel paranormal phenomena,english,drew powell kim thomson alexandra silber mikael håfström fantasy horror book debunking evil hotel paranormal phenomena english
mel brooks,joan rivers,dick van patten,michael winslow,adventure comedy sci-fi,spaceballs,parody planet enclosed within shield sci fi spoof self referential winnebago,english,joan rivers dick van patten michael winslow mel brooks adventure comedy sci-fi parody planet enclosed within shield sci fi spoof self referential winnebago english
russell crowe,cem yilmaz,ryan corr,steve bastoni,drama war,the water diviner,australian battle battle of gallipoli gallipoli world war one,english,cem yilmaz ryan corr steve bastoni russell crowe drama war australian battle battle of gallipoli gallipoli world war one english
jerry zucker,demi moore,tony goldwyn,phil leeds,drama fantasy romance thriller,ghost,death film blanc invisibility love unrequited love,english,demi moore tony goldwyn phil leeds jerry zucker drama fantasy romance thriller death film blanc invisibility love unrequited love english
bobby farrelly,sarah silverman,lin shaye,richard tyson,comedy romance,there's something about mary,accident curtain call dream girl high school prom,english,sarah silverman lin shaye richard tyson bobby farrelly comedy romance accident curtain call dream girl high school prom english
john pasquin,judge reinhold,eric lloyd,peter boyle,comedy drama family fantasy,the santa clause,1990s christmas christmas eve sleigh surrealism,english,judge reinhold eric lloyd peter boyle john pasquin comedy drama family fantasy 1990s christmas christmas eve sleigh surrealism english
john lee hancock,dennis quaid,jay hernandez,angus t. jones,drama family sport,the rookie,baseball coach high school pitching texas,english,dennis quaid jay hernandez angus t. jones john lee hancock drama family sport baseball coach high school pitching texas english
andy fickman,dwayne johnson,kyra sedgwick,madison pettis,comedy family sport,the game plan,family relationships football movie publicist sports team tween girl,english,dwayne johnson kyra sedgwick madison pettis andy fickman comedy family sport family relationships football movie publicist sports team tween girl english
clint eastwood,clint eastwood,meryl streep,debra monk,drama romance,the bridges of madison county,1960s bridge housewife love photographer,english,clint eastwood meryl streep debra monk clint eastwood drama romance 1960s bridge housewife love photographer english
luke greenfield,louis lombardi,michael papajohn,colleen haskell,comedy sci-fi,the animal,camera focus on a female butt cartoon on tv forest hairy buttocks seal the animal,english,louis lombardi michael papajohn colleen haskell luke greenfield comedy sci-fi camera focus on a female butt cartoon on tv forest hairy buttocks seal the animal english
richard attenborough,candice bergen,amrish puri,john gielgud,biography drama history,gandhi,british india indian muslim pakistan,english,candice bergen amrish puri john gielgud richard attenborough biography drama history british india indian muslim pakistan english
lasse hallström,manish dayal,charlotte le bon,juhi chawla,comedy drama,the hundred-foot journey,chef haute cuisine indian cuisine michelin guide restaurant,english,manish dayal charlotte le bon juhi chawla lasse hallström comedy drama chef haute cuisine indian cuisine michelin guide restaurant english
irwin winkler,ken howard,jeremy northam,ray mckinnon,action crime drama mystery thriller,the net,chat room computer computer hacker identity identity theft,english,ken howard jeremy northam ray mckinnon irwin winkler action crime drama mystery thriller chat room computer computer hacker identity identity theft english
jessie nelson,dianne wiest,loretta devine,richard schiff,drama,i am sam,child custody custody battle disability mentally impaired man single father,english,dianne wiest loretta devine richard schiff jessie nelson drama child custody custody battle disability mentally impaired man single father english
christopher spencer,roma downey,amber rose revah,darwin shaw,biography drama history,son of god,bare chested male bondage crucifixion loincloth reference to god resurrection,english,roma downey amber rose revah darwin shaw christopher spencer biography drama history bare chested male bondage crucifixion loincloth reference to god resurrection english
len wiseman,sophia myles,kevin grevioux,shane brolly,action fantasy thriller,underworld,blood death hybrid vampire werewolf,english,sophia myles kevin grevioux shane brolly len wiseman action fantasy thriller blood death hybrid vampire werewolf english
mikael håfström,denis o'hare,rza,xzibit,drama thriller,derailed,drink hotel police staged rape thief,english,denis o'hare rza xzibit mikael håfström drama thriller drink hotel police staged rape thief english
steven soderbergh,matt damon,joel mchale,thomas f. wilson,comedy crime drama thriller,the informant!,compulsive liar fbi informant investigation spy,english,matt damon joel mchale thomas f. wilson steven soderbergh comedy crime drama thriller compulsive liar fbi informant investigation spy english
richard attenborough,anthony hopkins,james frain,julian fellowes,biography drama romance,shadowlands,author book england friend oxford,english,anthony hopkins james frain julian fellowes richard attenborough biography drama romance author book england friend oxford english
mike bigelow,carlos ponce,eddie griffin,charles keating,comedy,deuce bigalow: european gigolo,dolphin gigolo pimp serial killer villain arrested,english,carlos ponce eddie griffin charles keating mike bigelow comedy dolphin gigolo pimp serial killer villain arrested english
ken scott,jack reynor,bobby moynihan,matthew daddario,comedy drama,delivery man,children identity lawsuit lawyer sperm donor,english,jack reynor bobby moynihan matthew daddario ken scott comedy drama children identity lawsuit lawyer sperm donor english
paul mcguigan,daniel radcliffe,spencer wilding,daniel mays,drama horror sci-fi thriller,victor frankenstein,assistant experiment frankenstein medical student scientist,english,daniel radcliffe spencer wilding daniel mays paul mcguigan drama horror sci-fi thriller assistant experiment frankenstein medical student scientist english
susanna white,radivoje bukvic,pawel szajda,grigoriy dobrygin,thriller,our kind of traitor,based on novel male frontal nudity male nudity male rear nudity,english,radivoje bukvic pawel szajda grigoriy dobrygin susanna white thriller based on novel male frontal nudity male nudity male rear nudity english
dennis dugan,amanda detmer,neil diamond,kyle gass,comedy crime romance,saving silverman,female nudity friend kidnapping love nun,english,amanda detmer neil diamond kyle gass dennis dugan comedy crime romance female nudity friend kidnapping love nun english
david bowers,zachary gordon,rachael harris,karan brar,comedy family,diary of a wimpy kid: dog days,best friend camping country club no opening credits summer vacation,english,zachary gordon rachael harris karan brar david bowers comedy family best friend camping country club no opening credits summer vacation english
spike lee,mira sorvino,jennifer esposito,mike starr,crime drama romance thriller,summer of sam,distrust fear murder neighborhood new york city,english,mira sorvino jennifer esposito mike starr spike lee crime drama romance thriller distrust fear murder neighborhood new york city english
kevin smith,will ferrell,shannon elizabeth,jason mewes,comedy,jay and silent bob strike back,internet jay and silent bob new jersey orangutan police,english,will ferrell shannon elizabeth jason mewes kevin smith comedy internet jay and silent bob new jersey orangutan police english
michael bay,scarlett johansson,steve buscemi,djimon hounsou,action adventure romance sci-fi thriller,the island,clone environment escape island lottery,english,scarlett johansson steve buscemi djimon hounsou michael bay action adventure romance sci-fi thriller clone environment escape island lottery english
daniel sackheim,chris noth,bruce dern,trevor morgan,crime drama mystery thriller,the glass house,car car accident death friend glass,english,chris noth bruce dern trevor morgan daniel sackheim crime drama mystery thriller car car accident death friend glass english
ethan coen,scarlett johansson,channing tatum,alden ehrenreich,comedy mystery,"hail, caesar!",50s film within a film hollywood illegitimate pregnancy twins,english,scarlett johansson channing tatum alden ehrenreich ethan coen comedy mystery 50s film within a film hollywood illegitimate pregnancy twins english
harry elfont,rosario dawson,paulo costanzo,aries spears,comedy music,josie and the pussycats,based on tv series fictional band girl band music industry pop band,english,rosario dawson paulo costanzo aries spears harry elfont comedy music based on tv series fictional band girl band music industry pop band english
gary fleder,jason statham,james franco,frank grillo,action crime drama thriller,homefront,biker biker gang dea dea agent fight,english,jason statham james franco frank grillo gary fleder action crime drama thriller biker biker gang dea dea agent fight english
uli edel,richard e. grant,jim carter,alice krige,adventure comedy family fantasy,the little vampire,boy pushed off a cliff rat secret passage vampire,english,richard e. grant jim carter alice krige uli edel adventure comedy family fantasy boy pushed off a cliff rat secret passage vampire english
david o. russell,naomi watts,lily tomlin,isabelle huppert,comedy,i heart huckabees,coincidence cult film overalls suburb vomiting,english,naomi watts lily tomlin isabelle huppert david o. russell comedy coincidence cult film overalls suburb vomiting english
fred dekker,cch pounder,rip torn,mako,action crime sci-fi thriller,robocop 3,android corporation ninja police robocop,english,cch pounder rip torn mako fred dekker action crime sci-fi thriller android corporation ninja police robocop english
brian trenchard-smith,michael biehn,udo kier,franco nero,action adventure fantasy sci-fi thriller,megiddo: the omega code 2,armageddon battle end times reference to satan sequel,english,michael biehn udo kier franco nero brian trenchard-smith action adventure fantasy sci-fi thriller armageddon battle end times reference to satan sequel english
blake edwards,rock hudson,vernon dobtcheff,jeremy kemp,comedy drama musical romance war,darling lili,crepe suzette french mata hari spoof song spy,english,rock hudson vernon dobtcheff jeremy kemp blake edwards comedy drama musical romance war crepe suzette french mata hari spoof song spy english
hugh wilson,brendan fraser,alex rocco,eric idle,comedy family romance,dudley do-right,gold gold rush mirror police officer singer,english,brendan fraser alex rocco eric idle hugh wilson comedy family romance gold gold rush mirror police officer singer english
camille delamarre,ed skrein,noémie lenoir,radivoje bukvic,action crime thriller,the transporter refueled,airfield car car stunt driver private jet,english,ed skrein noémie lenoir radivoje bukvic camille delamarre action crime thriller airfield car car stunt driver private jet english
laurence dunmore,johnny depp,jack davenport,richard coyle,drama romance,the libertine,ambassador charles ii earl mistress poet,english,johnny depp jack davenport richard coyle laurence dunmore drama romance ambassador charles ii earl mistress poet english
paul verhoeven,michiel huisman,sebastian koch,christian berkel,drama thriller war,black book,boat escape hiding nazi resistance,dutch,michiel huisman sebastian koch christian berkel paul verhoeven drama thriller war boat escape hiding nazi resistance dutch
christian carion,gary lewis,dany boon,ian richardson,drama history music romance war,joyeux noel,christmas no man's land soldier trench world war one,french,gary lewis dany boon ian richardson christian carion drama history music romance war christmas no man's land soldier trench world war one french
david palmer,bradley cooper,tom arnold,beau bridges,action comedy romance,hit and run,gay cop getaway driver masturbation penis witness protection,english,bradley cooper tom arnold beau bridges david palmer action comedy romance gay cop getaway driver masturbation penis witness protection english
callie khouri,stephen root,ted danson,roger cross,comedy crime thriller,mad money,bank federal reserve bank money security guard shredder,english,stephen root ted danson roger cross callie khouri comedy crime thriller bank federal reserve bank money security guard shredder english
rowan joffe,colin firth,ben crompton,anne-marie duff,drama mystery thriller,before i go to sleep,amnesia female nudity infidelity nudity therapist,english,colin firth ben crompton anne-marie duff rowan joffe drama mystery thriller amnesia female nudity infidelity nudity therapist english
william friedkin,roy scheider,joe spinell,amidou,adventure drama thriller,sorcerer,fire jungle money oil drilling truck,english,roy scheider joe spinell amidou william friedkin adventure drama thriller fire jungle money oil drilling truck english
john curran,robert de niro,milla jovovich,frances conroy,drama thriller,stone,arsonist blood splatter on face deception parole parole officer,english,robert de niro milla jovovich frances conroy john curran drama thriller arsonist blood splatter on face deception parole parole officer english
laurent tirard,romain duris,ludivine sagnier,fabrice luchini,comedy history,molière,deathbed play playwright prison theater,french,romain duris ludivine sagnier fabrice luchini laurent tirard comedy history deathbed play playwright prison theater french
scott cooper,christian bale,sam shepard,dendrie taylor,crime drama thriller,out of the furnace,ambiguous ending brother brother relationship drug dealer fight club revenge,english,christian bale sam shepard dendrie taylor scott cooper crime drama thriller ambiguous ending brother brother relationship drug dealer fight club revenge english
tony gilroy,tom wilkinson,denis o'hare,sydney pollack,crime drama mystery thriller,michael clayton,attorney debt fixer law law firm,english,tom wilkinson denis o'hare sydney pollack tony gilroy crime drama mystery thriller attorney debt fixer law law firm english
peter segal,wilford brimley,bradley whitford,sela ward,adventure comedy,my fellow americans,gay pride highway travel president road movie u.s. president,english,wilford brimley bradley whitford sela ward peter segal adventure comedy gay pride highway travel president road movie u.s. president english
mark pellington,jeff bridges,spencer treat clark,hope davis,crime drama thriller,arlington road,death fbi fbi agent neighbor professor,english,jeff bridges spencer treat clark hope davis mark pellington crime drama thriller death fbi fbi agent neighbor professor english
juan josé campanella,pablo rago,diego ramos,gabriel almirón,adventure animation family sport,underdogs,funfair luna park table football toy comes to life wig,spanish,pablo rago diego ramos gabriel almirón juan josé campanella adventure animation family sport funfair luna park table football toy comes to life wig spanish
woody allen,ornella muti,judy davis,alessandra mastronardi,comedy romance,to rome with love,architect celebrity prostitute shower tourist,english,ornella muti judy davis alessandra mastronardi woody allen comedy romance architect celebrity prostitute shower tourist english
clint eastwood,clint eastwood,warren clarke,kenneth colley,action adventure thriller,firefox,fighter plane jet fighter refueling russia soviet union,english,clint eastwood warren clarke kenneth colley clint eastwood action adventure thriller fighter plane jet fighter refueling russia soviet union english
trey parker,minnie driver,eric idle,trey parker,animation comedy fantasy musical,south park: bigger longer & uncut,boy canada hell misunderstanding refrence to liza minnelli,english,minnie driver eric idle trey parker trey parker animation comedy fantasy musical boy canada hell misunderstanding refrence to liza minnelli english
stuart gillard,paige turco,john aylward,matt hill,action adventure comedy family fantasy sci-fi,teenage mutant ninja turtles iii,battle japan magic samurai turtle,english,paige turco john aylward matt hill stuart gillard action adventure comedy family fantasy sci-fi battle japan magic samurai turtle english
brian robbins,keanu reeves,d.b. sweeney,dewayne warren,drama sport,hardball,coach gambling housing project little league little league baseball,english,keanu reeves d.b. sweeney dewayne warren brian robbins drama sport coach gambling housing project little league little league baseball english
david o. russell,jennifer lawrence,robert de niro,bradley cooper,comedy drama romance,silver linings playbook,adulterous wife bipolar disorder obsessive compulsive personality disorder unhappy marriage widow,english,jennifer lawrence robert de niro bradley cooper david o. russell comedy drama romance adulterous wife bipolar disorder obsessive compulsive personality disorder unhappy marriage widow english
richard lagravenese,hunter parrish,scott glenn,imelda staunton,biography crime drama,freedom writers,gang violence high school journal marriage teacher,english,hunter parrish scott glenn imelda staunton richard lagravenese biography crime drama gang violence high school journal marriage teacher english
