director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,plot_keywords,language
diane english,jada pinkett smith,debi mazar,debra messing,comedy drama,the women,beauty salon divorce fashion new york perfume,english
woody allen,scarlett johansson,kevin dunn,christopher evan welch,drama romance,vicky cristina barcelona,art artist painter sex summer,english
peter flinth,gustaf skarsgård,michael nyqvist,vincent perez,action adventure drama romance war,arn: the knight templar,first part holy land knight templar monastery sword and shield,swedish
jon lucas,mila kunis,jay hernandez,jada pinkett smith,comedy,bad moms,lesbian kiss mom pta reference to mad max scene during end credits,english
robert iscove,alyson hannigan,amanda detmer,tsianina joelson,comedy drama romance,boys and girls,best friend break up friendship graduation male in underwear,english
peter kosminsky,patrick fugit,cole hauser,marc donato,drama,white oleander,california foster home love oleander prison,english
karyn kusama,j.k. simmons,amy sedaris,cynthia stevenson,comedy fantasy horror,jennifer's body,cannibalism cheerleader condom hook for hand satanic ritual,english
nick gomez,will ferrell,jamie lee curtis,tracey walter,comedy crime mystery,drowning mona,crying woman plot suspect waitress younger man older woman relationship,english
woody allen,mike starr,don pardo,julie kavner,comedy,radio days,beach cigarette girl radio woman holding a baby working class,english
vic armstrong,nicolas cage,lea thompson,quinton aaron,action drama fantasy mystery thriller,left behind,bible quote chaos faith riot shrine,english
allen coulter,robert pattinson,lena olin,ruby jerins,drama romance,remember me,binge drinking new york new york city september 11 2001 suicide,english
clare kilner,dylan baker,alexandra holden,trent ford,comedy drama romance,how to deal,best friend high school mother sister wedding,english
richard benjamin,jon lovitz,alyson hannigan,tony jay,comedy romance sci-fi,my stepmother is an alien,alien earth female alien mission secret,english
jonathan demme,denzel washington,tom hanks,jason robards,drama,philadelphia,aids city name in title gay homophobia lawyer,english
josef rusnak,gretchen mol,craig bierko,brad william henke,mystery sci-fi thriller,the thirteenth floor,amnesia barricade letter time virtual reality,english
lance rivera,farrah fawcett,vincent pastore,jenifer lewis,comedy,the cookout,flatulence interracial marriage marriage,english
ronald neame,martin landau,karl malden,brian keith,action drama sci-fi thriller,meteor,asteroid meteor nasa nuclear weapon satellite,english
bruce paltrow,lochlyn munro,marian seldes,huey lewis,comedy drama music,duets,convict karaoke middle america salesman singer,english
woody allen,woody allen,debra messing,treat williams,comedy romance,hollywood ending,blind director psychosomatic blindness self deprecating studio,english
adam rifkin,natasha lyonne,lin shaye,shannon tweed,comedy music,detroit rock city,band concert high school kiss teenager,english
russell mulcahy,christopher lambert,jon polito,celia imrie,action adventure fantasy,highlander,combat head cut off immortal scotland swordsman,english
susanne bier,alison lohman,omar benson miller,robin weigert,drama,things we lost in the fire,best friend dinner garage narcotics anonymous recovery,english
kenneth johnson,charles napier,annabeth gish,hill harper,action crime sci-fi,steel,fight gang junkyard military soldier,english
james gray,jeremy renner,dagmara dominczyk,angela sarafyan,drama romance,the immigrant,immigrant immigration magician money prostitution,english
james ivory,vanessa redgrave,natasha richardson,lynn redgrave,drama history romance war,the white countess,countess diplomat japanese russian shanghai,english
danny boyle,rosario dawson,spencer wilding,tuppence middleton,crime drama mystery thriller,trance,amnesia criminal heist hypnotherapy lost painting,english
jessy terrero,mo'nique,snoop dogg,tom arnold,comedy,soul plane,airline airplane bathroom sex toilet,english
dany boon,dany boon,kad merad,michel galabru,comedy romance,welcome to the sticks,alcohol alcoholic drink drunken man france provence,french
vicente amorim,viggo mortensen,jodie whittaker,steven mackintosh,drama romance war,good,censorship children corpse heil hitler suffering,english
gaspar noé,paz de la huerta,emily alyn lind,olly alexander,drama fantasy,enter the void,drug deal drugs explicit sex love stripper,english
amy heckerling,taylor negron,justin kirk,ivan sergei,comedy horror romance,vamps,murder new york city one word title vampire vampire slayer,english
lasse hallström,cary-hiroyuki tagawa,sarah roemer,joan allen,drama family,hachi: a dog's tale,dog human animal relationship japanese loyalty waiting,english
jérôme salle,orlando bloom,tanya van graan,conrad kemp,crime drama thriller,zulu,apartheid corpse male nudity murder police officer,english
tommy lee jones,barry corbin,tim blake nelson,miranda otto,drama western,the homesman,abusive marriage pastor prison wagon roast pig suicide by hanging,english
jesse vaughan,vivica a. fox,jenifer lewis,kevin pollak,comedy drama romance sport,juwanna mann,basketball dodge viper hit in the crotch male nudity the star spangled banner,english
unknown_director,steven van zandt,trond fausa,tommy karlsen,comedy crime drama,lilyhammer            ,mafia mob norway steve van,english
atom egoyan,david alpay,marie-josée croze,charles aznavour,drama war,ararat,armenian armenian genocide customs agent genocide prayer,english
william bindley,bruce dern,jake lloyd,william shockley,drama sport,madison,boat racing hydroplane loyalty one word title scolding,english
wayne beach,mekhi phifer,ll cool j,fisher stevens,drama mystery thriller,slow burn,district attorney interview murder prosecutor reporter,english
gérard krawczyk,carole bouquet,ryôko hirosue,michel muller,action comedy crime drama thriller,wasabi,french inheritance japan letter police detective hero,french
james gunn,dustin milligan,gregg henry,tania saulnier,comedy horror sci-fi,slither,alien b movie sex slug small town,english
martin brest,judge reinhold,ronny cox,james russo,action comedy crime,beverly hills cop,drug dealer drugs murder police brutality police shootout,english
chris columbus,macaulay culkin,devin ratray,catherine o'hara,comedy family,home alone,airport child protagonist child swearing christmas home alone,english
leonard nimoy,tom selleck,ted danson,steve guttenberg,comedy drama family,3 men and a baby,1980s baby heroin package questioned by police,english
sydney pollack,bill murray,sydney pollack,teri garr,comedy drama romance,tootsie,actor actress friend love reputation,english
tony scott,tom cruise,tom skerritt,adrian pasdar,action drama romance,top gun,flying gay subtext machismo male objectification pilot,english
ang lee,chen chang,pei-pei cheng,sihung lung,action drama romance,"crouching tiger, hidden dragon",bare midriff china magical realism martial arts sword,mandarin
sam mendes,kevin spacey,peter gallagher,ara celi,drama,american beauty,domestic violence drug dealer homosexuality midlife crisis unfaithfulness,english
tom hooper,colin firth,jennifer ehle,derek jacobi,biography drama history romance,the king's speech,king king george vi speech speech therapist throne,english
ivan reitman,kelly preston,tony jay,hugh o'brian,comedy crime,twins,bare chested male brother catholic orphanage long lost siblings twins,english
unknown_director,bex taylor-klaus,bobby campo,jason wiles,crime drama horror mystery thriller,scream: the tv series            ,generation y millennial generation murder teenage girl throat slitting,english
udayan prasad,kristen stewart,eddie redmayne,william hurt,drama romance,the yellow handkerchief,louisiana overalls road trip southern u.s. teenage boy,english
steven spielberg,oprah winfrey,rae dawn chong,dana ivey,drama,the color purple,book strap girl racial discrimination racial tension stereotype,english
jk youn,nicole dionne,ji-won ha,kyung-gu sol,action comedy drama thriller,tidal wave,korea lifeguard single father tears tsunami,korean
timur bekmambetov,morgan freeman,ayelet zurer,moises arias,adventure drama history,ben-hur,chariot race epic false accusation jerusalem slave,english
morten tyldum,benedict cumberbatch,rory kinnear,allen leech,biography drama thriller war,the imitation game,crossword puzzle cryptography enigma code gay lead character world war two,english
howard zieff,eileen brennan,albert brooks,alan oppenheimer,comedy war,private benjamin,camera shot of feet female stockinged feet loss of husband pantyhose suntan pantyhose,english
michael apted,sissy spacek,beverly d'angelo,levon helm,biography drama music musical,coal miner's daughter,country music kissing while having sex poverty singer title based on song,english
thor freudenthal,chloë grace moretz,zachary gordon,rachael harris,comedy family,diary of a wimpy kid,cheese diary friend middle school school,english
andrés muschietti,javier botet,megan charpentier,isabelle nélisse,fantasy horror,mama,aunt children death of sister forest hiding in a closet,english
john carpenter,jamie lee curtis,donald pleasence,p.j. soles,horror thriller,halloween,halloween masked killer michael myers slasher trick or treat,english
harold ramis,beverly d'angelo,randy quaid,jane krakowski,adventure comedy,national lampoon's vacation,amusement park dog family vacation national lampoon series vacation,english
jeff tremaine,jackson nicoll,georgina cates,grasie mercedes,comedy,bad grandpa,child beauty pageant grandson hidden camera jackass road trip,english
stephen frears,roger allam,sylvia syms,alex jennings,biography drama,the queen,monarchy prime minister princess diana queen speech,english
tim burton,catherine o'hara,jeffrey jones,glenn shadix,comedy fantasy,beetlejuice,attic ghost surrealism teenage girl yuppie,english
tyler perry,michael jai white,tasha smith,lamman rucker,comedy drama,why did i get married?,marriage overweight psychologist secret work,english
gillian armstrong,christian bale,kirsten dunst,eric stoltz,drama family romance,little women,civil war female protagonist post civil war reference to friedrich schiller u.s. civil war,english
james watkins,daniel radcliffe,roger allam,jessica raine,drama fantasy horror thriller,the woman in black,afterlife baby boy bird in a cage ghost reunited family,english
simon west,madeline carroll,tessa thompson,brian geraghty,horror thriller,when a stranger calls,babysitting cell phone high school nightmare teenager,english
shawn levy,frankie muniz,donald faison,lee majors,adventure comedy family,big fat liar,brunette film producer liar prank stunt,english
michael cimino,robert de niro,meryl streep,john savage,drama war,the deer hunter,escape friend party pittsburgh steelers vietnam,english
barry levinson,robert de niro,kirsten dunst,john michael higgins,comedy drama,wag the dog,death election hollywood president scandal,english
jim fall,clayton snyder,adam lamberg,alex borstein,adventure comedy family music romance,the lizzie mcguire movie,best friend roma singer spaghetti teenager,english
ric roman waugh,dwayne johnson,harold perrineau,nadine velazquez,action drama thriller,snitch,cigarette smoking dea drugs inspired by true events undercover,english
michael dougherty,adam scott,conchata ferrell,allison tolman,comedy fantasy horror,krampus,christmas german holiday krampus santa claus,english
robert rodriguez,jordana brewster,salma hayek,clea duvall,horror mystery sci-fi,the faculty,alien high school ohio photographer water,english
brian gibson,rae'ven kelly,virginia capers,dororthy thorton,biography drama music,what's love got to do with it,abusive husband love singer tina turner violence,english
james mangold,robert de niro,sylvester stallone,janeane garofalo,crime drama thriller,cop land,corruption faked death falling off a roof internal affairs nypd,english
joel gallen,chris evans,joanna garcia swisher,mia kirshner,comedy,not another teen movie,cheerleader foreign exchange student incestuous desire incestuous kiss prom,english
david ayer,jake gyllenhaal,anna kendrick,america ferrera,crime drama thriller,end of watch,lapd police police officer south central los angeles street gang,english
cameron crowe,emma stone,bradley cooper,bill murray,comedy drama romance,aloha,box office flop critically bashed hawaii one word title written by director,english
rob cohen,paul walker,leslie bibb,william petersen,action crime drama thriller,the skulls,college friend ivy league secret society suicide,english
james marsh,eddie redmayne,emily watson,simon mcburney,biography drama romance,the theory of everything,based on memoir cambridge university husband wife relationship lou gehrig's disease physicist,english
john whitesell,greg grunberg,regina hall,blair underwood,comedy crime,malibu's most wanted,los angeles california person in car trunk racial impersonation south asian street gang,english
matt williams,natalie portman,james frain,stockard channing,comedy drama romance,where the heart is,birth oklahoma photographer tennessee wal mart,english
david lean,claude rains,josé ferrer,jack hawkins,adventure biography drama history war,lawrence of arabia,arab british military desert ottoman empire t.e. lawrence,english
rob zombie,scout taylor-compton,tyler mane,margot kidder,horror,halloween ii,halloween hospital michael myers rampage vomiting,english
jean-marc vallée,michiel huisman,kevin rankin,gaby hoffmann,adventure biography drama,wild,female protagonist grief hiking loss of mother mother daughter relationship,english
dennis iliadis,tony goldwyn,monica potter,martha macisaac,crime horror thriller,the last house on the left,kidnapping lake microwave oven psychopath woods,english
clare kilner,jack davenport,debra messing,holland taylor,comedy romance,the wedding date,chick flick escort male escort wedding wedding date,english
rick rosenthal,jamie lee curtis,thomas ian nicholas,bianca kajlich,comedy horror thriller,halloween: resurrection,cult film halloween killer michael myers serial killer,english
louis leterrier,liam neeson,jason flemyng,alexa davalos,action adventure fantasy,clash of the titans,famous line hand to hand combat kraken rape zeus,english
rob reiner,robin wright,carol kane,andré the giant,adventure family fantasy romance,the princess bride,fairy tale giant pirate princess true love,english
denzel washington,denzel washington,jurnee smollett-bell,john heard,biography drama,the great debaters,college debate student texas wiley college,english
nicolas winding refn,ryan gosling,albert brooks,russ tamblyn,crime drama,drive,kissing in an elevator mythical hero neo noir protective male silent protagonist,english
sara sugarman,adam garcia,carol kane,glenne headly,comedy family music romance,confessions of a teenage drama queen,band friend new york city suburb teenager,english
nicholas hytner,liam aiken,tim daly,kali rocha,comedy drama romance,the object of my affection,baby dancing gay name calling penis slur,english
juan carlos fresnadillo,jeremy renner,harold perrineau,catherine mccormack,drama horror sci-fi,28 weeks later,paris france rage sniper u.s. army zombie apocalypse,english
thomas carter,jessie t. usher,matthew daddario,ser'darius blain,drama family sport,when the game stands tall,coach high school football,english
wayne wang,cicely tyson,luke benward,eva marie saint,comedy drama family,because of winn-dixie,10 year old dog florida girl supermarket,english
gina prince-bythewood,alfre woodard,sanaa lathan,omar epps,drama romance sport,love & basketball,basketball movie female basketball player high school nba title directed by female,english
george armitage,minnie driver,michael cudlitz,mitchell ryan,action comedy crime romance thriller,grosse pointe blank,assassin high school high school reunion reunion suburb,english
phil traill,bradley cooper,katy mixon,beth grant,comedy romance,all about steve,blind date crossword puzzle eccentric fall mine shaft,english
joe berlinger,kim director,erica leerhsen,kurt loder,adventure fantasy horror mystery thriller,book of shadows: blair witch 2,convenience store digit in title punctuation in title violence witch,english
andrew fleming,christine taylor,rachel true,brenda strong,drama fantasy horror thriller,the craft,coven occult outcast spell witch,english
woody allen,scarlett johansson,mark gatiss,penelope wilton,drama romance thriller,match point,extramarital affair infidelity irony of fate surprise ending tennis,english
elizabeth allen rosenbaum,sierra mccormick,hutch dano,jason spevack,adventure comedy family fantasy,ramona and beezus,aunt cat death of pet girl no opening credits,english
james ivory,anthony hopkins,peter vaughan,ben chaplin,drama romance,the remains of the day,butler housekeeper manor servant service,english
paul thomas anderson,don cheadle,nicole ari parker,nina hartley,drama,boogie nights,1970s adult entertainment industry nightclub porn industry san fernando valley california,english
robert harmon,kieran culkin,rosanna arquette,joss ackland,action crime drama romance thriller,nowhere to run,business escaped convict farm motorcycle widow,english
michael mayer,alison lohman,danny pino,tim mcgraw,adventure drama family,flicka,father son relationship horse horse ranch ranch wild mustang,english
martin weisz,jeff kober,daniella alonso,jacob vargas,horror,the hills have eyes ii,desert fight hill murder mutant,english
john ottman,loretta devine,joey lawrence,jacinda barrett,horror mystery thriller,urban legends: final cut,film set movie set sequel slow motion urban legend,english
jay russell,william hurt,sissy spacek,jonathan jackson,drama family fantasy romance,tuck everlasting,fountain of youth immortality secret woods young man,english
john bonito,kelly carlson,firass dirani,drew powell,action drama thriller,the marine,beating marine muscleman tied up tough guy,english
peter atencio,nia long,will forte,keegan-michael key,action comedy,keanu,car chase gangsta gun fight hitman kitten,english
shana feste,leighton meester,cinda mccain,tim mcgraw,drama music,country strong,country music panties pink panties relapse songwriter,english
david nutter,bruce greenwood,ethan embry,katharine isabelle,horror mystery sci-fi thriller,disturbing behavior,blue ribbon high school jacket jock yogurt,english
derek cianfrance,ryan gosling,ben mendelsohn,angelo anthony pizza,crime drama thriller,the place beyond the pines,bank carnival motorcycle police rookie cop,english
roger donaldson,luke bracey,akie kotabe,will patton,action crime thriller,the november man,critically bashed premarital sex sex scene sex standing up stripper,english
stephan elliott,jason priestley,patrick bergin,geneviève bujold,drama mystery thriller,eye of the beholder,chicago illinois false identity femme fatale new york city spying,english
kathryn bigelow,jeremy renner,christian camargo,brian geraghty,drama history thriller war,the hurt locker,army bomb dangerous job death iraq,english
mark l. lester,heather locklear,george c. scott,david keith,action horror sci-fi thriller,firestarter,captain experiment fire psychic secret government agency,english
andrew dominik,brad pitt,sam shepard,ben mendelsohn,crime thriller,killing them softly,exploding car hit by a car poker game punched in the face shot to death,english
anton corbijn,philip seymour hoffman,nina hoss,homayoun ershadi,crime drama thriller,a most wanted man,intelligence intelligence agency secret service surveillance camera war on terror,english
tom green,rip torn,harland williams,eddie kaye thomas,comedy,freddy got fingered,animator bamboo cane cartoonist sausage slacker,english
mike nawrocki,yuri lowenthal,cam clarke,phil vischer,adventure animation comedy family,the pirates who don't do anything: a veggietales movie,17th century king pirate vegetable waiter,english
catherine owens,bono,the edge,larry mullen jr.,documentary music,u2 3d,3d in title digit in title rock band rocker u2,english
douglas aarniokoski,christopher lambert,adrian paul,adam copeland,action adventure fantasy sci-fi,highlander: endgame,battle explosion immortal revenge sequel to cult film,english
bryan barber,cicely tyson,faizon love,bobb'e j. thompson,crime drama musical romance,idlewild,gangster playing piano song and dance speakeasy written and directed by cast member,english
lone scherfig,anne hathaway,jim sturgess,rafe spall,drama romance,one day,23 year time span accidental death best friend loss of loved one male female friendship,english
drew barrymore,daniel stern,jimmy fallon,alia shawkat,drama sport,whip it,beauty pageant friend pageant roller derby texas,english
brian koppelman,vin diesel,tom noonan,kevin gage,crime drama thriller,knockaround guys,mob mobster money montana sheriff,english
james foley,louis lombardi,brian van holt,leland orser,crime thriller,confidence,con grifter lap dance organized crime shot in the forehead,english
albert brooks,jeff bridges,bradley whitford,albert brooks,comedy,the muse,directed by star muse satire screenwriter tiffany's,english
irwin winkler,kevin mcnally,keith allen,sandra nelson,biography drama music musical,de-lovely,cole porter composer love party tears,english
woody allen,woody allen,larry david,mia farrow,comedy drama romance,new york stories,12 year old artist hotel three word title written and directed by cast member,english
steve gomer,trevor morgan,kyla pratt,shirley douglas,adventure family,barney's great adventure,apostrophe in title critically bashed hit on the head with a ball punctuation in title tyrannosaurus rex,english
rza,rick yune,rza,daniel wu,action,the man with the iron fists,blacksmith box office flop chop socky critically bashed village,english
dean parisot,catherine o'hara,jake busey,shelley duvall,comedy drama romance,home fries,baby infidelity pilot pregnant waitress,english
mark piznarski,bruce greenwood,chris klein,elaine hendrix,drama romance,here on earth,diner love private school school small town,english
terry gilliam,robert de niro,bob hoskins,jim broadbent,drama sci-fi,brazil,black comedy bureaucracy dream terrorist wrongful arrest,english
sean mcnamara,oliver james,rebecca de mornay,jason ritter,family music romance,raise your voice,music school scholarship small town stage fright three word title,english
unknown_director,david ogden stiers,nicole de boer,chris bruno,drama fantasy mystery sci-fi,the dead zone            ,psychic psychic power psychometry spin off supernatural power,english
joel coen,philip seymour hoffman,jeff bridges,steve buscemi,comedy crime,the big lebowski,death drug nihilism rug white russian,english
craig brewer,justin timberlake,michael raymond-james,s. epatha merkerson,drama music,black snake moan,breasts nipples visible through clothing nudity rear entry sex white panties,english
ron shelton,khandi alexander,dash mihok,michael michele,crime drama romance thriller,dark blue,corrupt criminal investigation lapd police,english
michael winterbottom,angelina jolie pitt,archie panjabi,dan futterman,biography drama history thriller war,a mighty heart,fbi journalist missing pakistan reporter,english
david raynr,james franco,jodi lyn o'keefe,marla sokoloff,comedy drama romance,whatever it takes,male objectification manipulative behavior modern day adaptation narcissistic woman promiscuous woman,english
mort nathan,vivica a. fox,lin shaye,bob gunton,comedy,boat trip,gay hot air balloon rejecting a marriage proposal talking to a dog vomiting on someone,english
oliver parker,colin firth,tom wilkinson,rupert everett,comedy drama romance,the importance of being earnest,comedy of manners false identity farce love period drama,english
dan curtis,jennifer jason leigh,campbell scott,estelle parsons,fantasy romance,the love letter,antique desk letter love time travel,english
wil shriner,logan lerman,neil flynn,tim blake nelson,adventure comedy family,hoot,fight florida montana owl school,english
martin mcdonagh,elizabeth berrington,anna madeley,eric godon,comedy crime drama,in bruges,bruges bullet hope irish tourist,english
tina gordon chism,tyler james williams,s. epatha merkerson,diahann carroll,comedy romance,peeples,african american,english
peter cattaneo,emma stone,bradley cooper,josh gad,comedy music,the rocker,20 years later drummer hdtv rock band rock star,english
vicky jenson,j.k. simmons,zach gilford,bobby coleman,comedy romance,post grad,graduation graduation speech title directed by female tv studio unemployment,english
gus van sant,matt damon,hal holbrook,terry kinney,drama,promised land,corporate greed corporation natural gas salesman small town,english
woody allen,larry david,michael mckean,conleth hill,comedy romance,whatever works,atheist limp quantum mechanics religion runaway,english
mary lambert,matthew settle,susan ward,a.j. buckley,drama mystery thriller,the in crowd,clique country club female protagonist lip gloss title directed by female,english
tommy lee jones,levon helm,dwight yoakam,guillermo arriaga,adventure crime drama mystery western,three burials,cemetery friend journey mexico promise,english
peter kassovitz,robin williams,mark margolis,michael jeter,drama war,jakob the liar,german ghetto hope nazi radio,english
shane black,robert downey jr.,corbin bernsen,larry miller,comedy crime mystery,kiss kiss bang bang,actor detective sergeant hotel nightclub thief,english
rodman flender,vivica a. fox,fred willard,elden henson,comedy fantasy horror thriller,idle hands,breasts female frontal nudity nude woman murdered slow motion scene trailer home,english
david lynch,naomi watts,robert forster,laura harring,drama mystery thriller,mulholland drive,amnesia car accident female protagonist lesbian sex loss of memory,english
katja von garnier,olivier martinez,agnes bruckner,chris geere,drama fantasy horror romance,blood and chocolate,colorado love murder rocky mountains werewolf,english
woody allen,anthony hopkins,naomi watts,ewen bremner,comedy drama romance,you will meet a tall dark stranger,call girl charlatan fortune teller manuscript writer,english
mark romanek,andrew garfield,charlie rowe,charlotte rampling,drama romance sci-fi,never let me go,boarding school childhood love love triangle organ donation,english
unknown_director,anna silk,tom hollander,alessandro nivola,drama history thriller,the company            ,cia mole revolution spy ussr,english
brad anderson,thomas kretschmann,eduardo noriega,mac mcdonald,crime drama mystery thriller,transsiberian,35 mm digital camera drugs murder train travel,english
michael chapman,curtis armstrong,pamela reed,mike muscat,adventure drama fantasy,the clan of the cave bear,cave bear cro magnon neanderthal survival tradition,english
antonio banderas,meat loaf,elizabeth perkins,noah emmerich,comedy crime drama,crazy in alabama,abusive husband alabama boy dream sheriff,english
michael haneke,naomi watts,siobhan fallon hogan,brady corbet,crime drama horror thriller,funny games,breaking the fourth wall looking at the camera remake serial killer violence,english
khalil sullins,thomas stroppel,kalim chandler,amber marie bollinger,drama sci-fi thriller,listening,divorce papers fainting mind control playground technology,english
atom egoyan,bob hoskins,elaine cassidy,gerard mcsorley,drama thriller,felicia's journey,caterer catering chef friend lawn mower,english
fritz lang,brigitte helm,gustav fröhlich,rudolf klein-rogge,drama sci-fi,metropolis,art deco bible quote dance silent film worker,german
pierre morel,david belle,cyril raffaelli,dany verissimo-petit,action crime thriller,district b13,bomb gang police sister undercover cop,french
gary fleder,steve buscemi,bill cobbs,treat williams,crime drama,things to do in denver when you're dead,death finger gun video message what happened to epilogue wheelchair,english
hsiao-hsien hou,qi shu,chen chang,satoshi tsumabuki,action drama,the assassin,black magic china love refusal to kill wuxia,mandarin
gregor jordan,dean stockwell,scott glenn,leon,comedy crime drama thriller war,buffalo soldiers,berlin wall germany murder soldier specialist,english
andrey zvyagintsev,konstantin lavronenko,vladimir garin,nataliya vdovina,drama mystery thriller,the return,boy photograph return russian wilderness,russian
tony jaa,nirut sirichanya,petchtai wongkamlao,sarunyu wongkrachang,action,ong-bak 2,cult film elephant jungle martial arts stylized violence,thai
neil marshall,michael fassbender,jj feild,dave legeno,action adventure drama history thriller war,centurion,mushroom mute roman soldier screaming wood carving,english
russell mulcahy,christopher heyerdahl,gina bellman,conrad dunn,action drama thriller,silent trigger,assassin die hard scenario rangefinder soldier veteran,english
ryûhei kitamura,bradley cooper,brooke shields,leslie bibb,fantasy horror mystery,the midnight meat train,butcher girlfriend mute character photographer subway,english
darrell roodt,jennifer hudson,wendy crewson,aubrey poo,biography drama history,winnie mandela,character name in title nelson mandela one word title reference to winnie mandela south africa,english
dito montiel,channing tatum,al pacino,tracy morgan,crime drama thriller,the son of no one,housing project letter man with glasses murder subjective camera,english
stefan ruzowitzky,eddie izzard,udo kier,edward fox,action comedy drama war,all the queen's men,apostrophe in title behind enemy lines box office flop gay interest punctuation in title,english
jake paltrow,stephen graham,gael le cornec,keith allen,comedy drama fantasy music romance,the good night,commercial dream dreaming girl new york city,english
juraj jakubisko,anna friel,hans matheson,franco nero,biography drama fantasy history,bathory: countess of blood,bathory countess female protagonist legend virgin blood,english
anthony silverston,liam neeson,steve buscemi,loretta devine,adventure animation family,khumba,herd ostrich waterhole wildebeest zebra,english
gabe ibáñez,birgitte hjort sørensen,robert forster,melanie griffith,action sci-fi thriller,automata,child hitman dystopia future robot self repair,english
gerry lively,bruce payne,lucy gaskell,steven elder,action adventure fantasy,dungeons & dragons: wrath of the dragon god,combat helmet martial arts medieval times violence,english
daniele luchetti,maximilian dirr,rodrigo de la serna,ferdinando vetere,biography,chiamatemi francesco - il papa della gente,unknown_keywords,spanish
tung-shing yee,bingbing fan,daniel wu,yasuaki kurata,action crime drama thriller,shinjuku incident,chinese gang gratitude immigrant japan,mandarin
julien temple,samantha morton,dexter fletcher,linus roache,biography drama,pandaemonium,betrayal french revolution friendship poet revolution,english
harold ramis,bill murray,chris elliott,willie garson,comedy fantasy romance,groundhog day,cult film existentialism groundhog day time loop trapped in a time loop,english
gregory jacobs,matt bomer,channing tatum,kevin nash,comedy drama music,magic mike xxl,male bonding male friendship male objectification muscular stripper,english
baz luhrmann,leonardo dicaprio,harold perrineau,brian dennehy,drama romance,romeo + juliet,hawaiian shirt love shakespeare adaptation shakespeare play star crossed lovers,english
gilles paquet-brenner,kristin scott thomas,aidan quinn,arben bajraktaraj,drama war,sarah's key,apartment escape jewish family journalist key,french
peter cousens,sharon leal,david rasche,bart shatto,drama family music,freedom,19th century christian film hymn religion slave,english
clint eastwood,clint eastwood,morgan freeman,frances fisher,drama western,unforgiven,englishman leaving flowers on a grave one last job reputation visiting wife's grave,english
lars von trier,bryce dallas howard,jeremy davies,jean-marc barr,drama,manderlay,cotton female frontal nudity flogging gangster slavery,english
danny boyle,anil kapoor,saurabh shukla,ayush mahesh khedekar,drama romance,slumdog millionaire,cheating falling from height murder non professional cast slum,english
adrian lyne,fred gwynne,lois smith,anne archer,drama romance thriller,fatal attraction,borderline personality disorder killing a pet madame butterfly new york new york city,english
garry marshall,julia roberts,hector elizondo,jason alexander,comedy romance,pretty woman,businessman falling in love with a prostitute hotel prostitute rich man poor woman,english
john blanchard,martin short,andrea martin,joe flaherty,comedy,towering inferno            ,unknown_keywords,english
john cornell,paul hogan,linda kozlowski,john meillon,action adventure comedy,crocodile dundee ii,australia australian crime boss crocodile gangster,english
vidhu vinod chopra,maría valverde,chris marquette,chad bishop,action crime drama mystery thriller,broken horses,unknown_keywords,english
oliver stone,tom cruise,tom berenger,stephen baldwin,biography drama war,born on the fourth of july,desert drunkenness religious mother strict mother vietnam war,english
jon turteltaub,doug e. doug,leon,malik yoba,adventure comedy family sport,cool runnings,bobsled coach jamaica olympic games olympics,english
patrick lussier,jensen ackles,jaime king,edi gathegi,horror thriller,my bloody valentine,coma death miner valentine valentine's day,english
ole bornedal,kyra sedgwick,madison davenport,natasha calis,horror thriller,the possession,basketball coach box jewish rabbi yard sale,english
ted kotcheff,sylvester stallone,brian dennehy,chris mulkey,action adventure drama,first blood,1980s colonel deputy rambo sheriff,english
sylvain white,chris brown,laz alonso,harry lennix,drama music romance,stomp the yard,atlanta georgia competition dancer death fraternity,english
lewis gilbert,caroline munro,desmond llewelyn,barbara bach,action adventure sci-fi thriller,the spy who loved me,1970s cult film official james bond series submarine world war three,english
unknown_director,amy bruni,steve gonsalves,jason hawes,documentary,ghost hunters            ,ghost paranormal paranormal research shaky cam,english
jamie blanks,alicia witt,loretta devine,julian richings,horror mystery thriller,urban legend,campus death friend professor urban legend,english
stephen frears,keanu reeves,peter capaldi,swoosie kurtz,drama romance,dangerous liaisons,catholic corruption emotional abuse france seduction,english
tyler perry,eddie cibrian,phylicia rashad,jamie kennedy,comedy drama romance,good deeds,businessman fight mean brother narrated by character wordplay in title,english
randal kleiser,seymour cassel,klaus maria brandauer,susan hogan,adventure drama,white fang,alaska dog friendship gold yukon,english
bruce mcculloch,will ferrell,elaine hendrix,molly shannon,comedy romance,superstar,dancing orphan school special education student,english
phyllida lloyd,meryl streep,jim broadbent,olivia colman,biography drama history,the iron lady,british prime minister female prime minister politics prime minister told in flashback,english
mike nawrocki,phil vischer,mike nawrocki,shelby vischer,adventure animation comedy drama family musical,jonah: a veggietales movie,anthropomorphism pirate pirate ship tomato whale,english
john singleton,janet jackson,khandi alexander,maya angelou,drama romance,poetic justice,african american mail carrier poetry postal worker south central los angeles,english
kevin bray,mike epps,roger guenveur smith,gino salvano,action comedy crime thriller,all about the benjamins,black comedy bounty hunter diamond machismo money,english
wes craven,john witherspoon,w. earl brown,allen payne,comedy fantasy horror romance,vampire in brooklyn,blood destiny nightmare partner vampire,english
john boorman,linda blair,richard burton,ned beatty,horror,exorcist ii: the heretic,demon exorcism locust priest repressed memory,english
